dataset,filename,runtime_seconds,input_tokens_total,output_tokens_total,final_score_first,final_score_second,verified
autoverus_ds_results/results_autoverus_ds_verusbench_250712/20250901-deepseek-mbpp-1.0,task_id_105,3396,633428,48586,0,2,False
autoverus_ds_results/results_autoverus_ds_verusbench_250712/20250901-deepseek-mbpp-1.0,task_id_113,2089,253110,30178,3,0,True
autoverus_ds_results/results_autoverus_ds_verusbench_250712/20250901-deepseek-mbpp-1.0,task_id_133,3439,624659,49053,0,2,False
autoverus_ds_results/results_autoverus_ds_verusbench_250712/20250901-deepseek-mbpp-1.0,task_id_142,2097,305945,36655,0,6,False
autoverus_ds_results/results_autoverus_ds_verusbench_250712/20250901-deepseek-mbpp-1.0,task_id_145,3563,666922,61401,0,2,False
autoverus_ds_results/results_autoverus_ds_verusbench_250712/20250901-deepseek-mbpp-1.0,task_id_161,6530,847010,116389,0,13,False
autoverus_ds_results/results_autoverus_ds_verusbench_250712/20250901-deepseek-mbpp-1.0,task_id_170,4810,854301,71258,2,3,False
autoverus_ds_results/results_autoverus_ds_verusbench_250712/20250901-deepseek-mbpp-1.0,task_id_18,6376,838538,115304,0,12,False
autoverus_ds_results/results_autoverus_ds_verusbench_250712/20250901-deepseek-mbpp-1.0,task_id_2,2093,301203,40055,0,6,False
autoverus_ds_results/results_autoverus_ds_verusbench_250712/20250901-deepseek-mbpp-1.0,task_id_230,2314,407128,33218,0,5,False
autoverus_ds_results/results_autoverus_ds_verusbench_250712/20250901-deepseek-mbpp-1.0,task_id_240,659,142358,11061,1,0,True
autoverus_ds_results/results_autoverus_ds_verusbench_250712/20250901-deepseek-mbpp-1.0,task_id_249,1762,235214,34327,0,6,False
autoverus_ds_results/results_autoverus_ds_verusbench_250712/20250901-deepseek-mbpp-1.0,task_id_251,2510,443518,35596,0,5,False
autoverus_ds_results/results_autoverus_ds_verusbench_250712/20250901-deepseek-mbpp-1.0,task_id_261,2898,446394,51118,0,2,False
autoverus_ds_results/results_autoverus_ds_verusbench_250712/20250901-deepseek-mbpp-1.0,task_id_262,2622,403860,40709,0,9,False
autoverus_ds_results/results_autoverus_ds_verusbench_250712/20250901-deepseek-mbpp-1.0,task_id_273,2296,364065,39041,0,4,False
autoverus_ds_results/results_autoverus_ds_verusbench_250712/20250901-deepseek-mbpp-1.0,task_id_282,1745,283198,29463,0,4,False
autoverus_ds_results/results_autoverus_ds_verusbench_250712/20250901-deepseek-mbpp-1.0,task_id_284,2416,552024,27681,1,0,True
autoverus_ds_results/results_autoverus_ds_verusbench_250712/20250901-deepseek-mbpp-1.0,task_id_290,2191,442837,35420,0,1,False
autoverus_ds_results/results_autoverus_ds_verusbench_250712/20250901-deepseek-mbpp-1.0,task_id_3,375,60109,5675,2,0,True
autoverus_ds_results/results_autoverus_ds_verusbench_250712/20250901-deepseek-mbpp-1.0,task_id_307,440,115709,6687,1,0,True
autoverus_ds_results/results_autoverus_ds_verusbench_250712/20250901-deepseek-mbpp-1.0,task_id_399,897,172191,13768,1,0,True
autoverus_ds_results/results_autoverus_ds_verusbench_250712/20250901-deepseek-mbpp-1.0,task_id_412,639,93207,11502,3,0,True
autoverus_ds_results/results_autoverus_ds_verusbench_250712/20250901-deepseek-mbpp-1.0,task_id_414,1591,275973,27377,0,6,False
autoverus_ds_results/results_autoverus_ds_verusbench_250712/20250901-deepseek-mbpp-1.0,task_id_424,4328,753622,65234,0,2,False
autoverus_ds_results/results_autoverus_ds_verusbench_250712/20250901-deepseek-mbpp-1.0,task_id_426,3438,652709,46437,3,0,True
autoverus_ds_results/results_autoverus_ds_verusbench_250712/20250901-deepseek-mbpp-1.0,task_id_431,2135,369935,31840,0,8,False
autoverus_ds_results/results_autoverus_ds_verusbench_250712/20250901-deepseek-mbpp-1.0,task_id_433,2059,530735,25631,0,2,False
autoverus_ds_results/results_autoverus_ds_verusbench_250712/20250901-deepseek-mbpp-1.0,task_id_436,2739,566254,34138,0,2,False
autoverus_ds_results/results_autoverus_ds_verusbench_250712/20250901-deepseek-mbpp-1.0,task_id_445,1950,308131,31686,0,2,False
autoverus_ds_results/results_autoverus_ds_verusbench_250712/20250901-deepseek-mbpp-1.0,task_id_447,807,110168,11996,1,0,True
autoverus_ds_results/results_autoverus_ds_verusbench_250712/20250901-deepseek-mbpp-1.0,task_id_454,3196,405533,35373,0,2,False
autoverus_ds_results/results_autoverus_ds_verusbench_250712/20250901-deepseek-mbpp-1.0,task_id_457,3121,495189,42108,0,6,False
autoverus_ds_results/results_autoverus_ds_verusbench_250712/20250901-deepseek-mbpp-1.0,task_id_460,4278,751292,57630,0,1,False
autoverus_ds_results/results_autoverus_ds_verusbench_250712/20250901-deepseek-mbpp-1.0,task_id_461,2382,363591,35853,0,2,False
autoverus_ds_results/results_autoverus_ds_verusbench_250712/20250901-deepseek-mbpp-1.0,task_id_472,4020,734215,58727,0,2,False
autoverus_ds_results/results_autoverus_ds_verusbench_250712/20250901-deepseek-mbpp-1.0,task_id_474,2243,405621,35077,1,0,True
autoverus_ds_results/results_autoverus_ds_verusbench_250712/20250901-deepseek-mbpp-1.0,task_id_476,5007,728986,87529,0,2,False
