dataset,filename,runtime_seconds,input_tokens_total,output_tokens_total,final_score_first,final_score_second,verified
autoverus_ds_results/results_autoverus_ds_verusbench_250712/20250904-deepseek-misc-1.0,arg_free,311,40515,4705,1,0,True
autoverus_ds_results/results_autoverus_ds_verusbench_250712/20250904-deepseek-misc-1.0,basic_nonlinear,120,12386,1401,2,0,True
autoverus_ds_results/results_autoverus_ds_verusbench_250712/20250904-deepseek-misc-1.0,binary_search,4834,888472,72338,0,2,False
autoverus_ds_results/results_autoverus_ds_verusbench_250712/20250904-deepseek-misc-1.0,bubble,4959,698053,100750,2,1,False
autoverus_ds_results/results_autoverus_ds_verusbench_250712/20250904-deepseek-misc-1.0,cell_2_sum,727,101803,13258,1,0,True
autoverus_ds_results/results_autoverus_ds_verusbench_250712/20250904-deepseek-misc-1.0,choose_odd,2948,632184,37781,0,2,False
autoverus_ds_results/results_autoverus_ds_verusbench_250712/20250904-deepseek-misc-1.0,conditional_average,988,95664,19540,1,0,True
autoverus_ds_results/results_autoverus_ds_verusbench_250712/20250904-deepseek-misc-1.0,deduplicate,1323,207139,23987,0,7,False
autoverus_ds_results/results_autoverus_ds_verusbench_250712/20250904-deepseek-misc-1.0,fib,5679,486652,119221,4,1,False
autoverus_ds_results/results_autoverus_ds_verusbench_250712/20250904-deepseek-misc-1.0,filter,4396,890104,56293,0,2,False
autoverus_ds_results/results_autoverus_ds_verusbench_250712/20250904-deepseek-misc-1.0,filter_weak,5044,950489,66516,0,2,False
autoverus_ds_results/results_autoverus_ds_verusbench_250712/20250904-deepseek-misc-1.0,findmax,1634,375749,25917,0,6,False
autoverus_ds_results/results_autoverus_ds_verusbench_250712/20250904-deepseek-misc-1.0,havoc_inline_post,772,112808,13470,1,0,True
autoverus_ds_results/results_autoverus_ds_verusbench_250712/20250904-deepseek-misc-1.0,len_intersect,81,9965,1363,1,0,True
autoverus_ds_results/results_autoverus_ds_verusbench_250712/20250904-deepseek-misc-1.0,linearsearch,1686,338545,29133,0,6,False
autoverus_ds_results/results_autoverus_ds_verusbench_250712/20250904-deepseek-misc-1.0,map,1913,401094,32226,0,1,False
autoverus_ds_results/results_autoverus_ds_verusbench_250712/20250904-deepseek-misc-1.0,max_index,2880,583040,38659,0,4,False
autoverus_ds_results/results_autoverus_ds_verusbench_250712/20250904-deepseek-misc-1.0,remove_all_greater,2168,413585,39963,0,5,False
autoverus_ds_results/results_autoverus_ds_verusbench_250712/20250904-deepseek-misc-1.0,reverse,470,93010,8220,1,0,True
autoverus_ds_results/results_autoverus_ds_verusbench_250712/20250904-deepseek-misc-1.0,simple_nested,2541,413711,49802,0,1,False
autoverus_ds_results/results_autoverus_ds_verusbench_250712/20250904-deepseek-misc-1.0,sum,384,46207,7073,4,0,True
autoverus_ds_results/results_autoverus_ds_verusbench_250712/20250904-deepseek-misc-1.0,tail_triangle,1477,243945,26604,0,1,False
autoverus_ds_results/results_autoverus_ds_verusbench_250712/20250904-deepseek-misc-1.0,trigger,233,63529,3381,1,0,True
