strategy,model,bench,dataset,task,calls_count_after_dedup,duration_s_total,prompt_tokens_total,completion_tokens_total
exverus,4o,obfs,obfuscated-verusbench,additional_obfuscated_verusbench_mbpp_task_id_105_4,16,251.28432726860046,44345,11393
exverus,4o,obfs,obfuscated-verusbench,additional_obfuscated_verusbench_diffy_ms3_1,10,271.6748456954956,39375,8230
exverus,4o,obfs,obfuscated-verusbench,additional_obfuscated_verusbench_mbpp_task_id_461_2,10,234.75995302200317,37324,7661
exverus,4o,obfs,obfuscated-verusbench,additional_obfuscated_verusbench_diffy_s4lif_3,42,704.8692002296448,215729,57148
exverus,4o,obfs,obfuscated-verusbench,additional_obfuscated_verusbench_diffy_s42if_4,43,784.5561671257019,300284,61307
exverus,4o,obfs,obfuscated-verusbench,additional_obfuscated_verusbench_mbpp_task_id_70_0,2,30.143285512924194,5611,1230
exverus,4o,obfs,obfuscated-verusbench,additional_obfuscated_verusbench_diffy_sina3_3,40,676.5111904144287,174343,47556
exverus,4o,obfs,obfuscated-verusbench,additional_obfuscated_verusbench_mbpp_task_id_644_3,8,87.31974625587463,26256,8193
exverus,4o,obfs,obfuscated-verusbench,additional_obfuscated_verusbench_diffy_s52if_1,10,335.69283723831177,54125,11116
exverus,4o,obfs,obfuscated-verusbench,additional_obfuscated_verusbench_diffy_s3if_0,10,229.04323315620422,38905,7782
exverus,4o,obfs,obfuscated-verusbench,additional_obfuscated_verusbench_diffy_s1if_3,40,514.7539966106415,158373,43948
exverus,4o,obfs,obfuscated-verusbench,additional_obfuscated_verusbench_diffy_condm_4,1,17.271180629730225,3430,704
exverus,4o,obfs,obfuscated-verusbench,additional_obfuscated_verusbench_diffy_s12if_0,47,740.6357600688934,271960,59066
exverus,4o,obfs,obfuscated-verusbench,additional_obfuscated_verusbench_mbpp_task_id_644_2,41,735.8896250724792,188528,49911
exverus,4o,obfs,obfuscated-verusbench,additional_obfuscated_verusbench_diffy_brs3_1,10,242.62870383262634,36909,7296
exverus,4o,obfs,obfuscated-verusbench,additional_obfuscated_verusbench_cloverbench_is_prime_4,36,472.25352454185486,128810,31329
exverus,4o,obfs,obfuscated-verusbench,additional_obfuscated_verusbench_diffy_s52if_0,57,943.1495091915131,303515,68250
exverus,4o,obfs,obfuscated-verusbench,additional_obfuscated_verusbench_diffy_sina3_2,44,769.5256953239441,330401,60305
exverus,4o,obfs,obfuscated-verusbench,additional_obfuscated_verusbench_mbpp_task_id_70_1,33,487.5442912578583,114981,27886
exverus,4o,obfs,obfuscated-verusbench,additional_obfuscated_verusbench_diffy_s4lif_2,47,718.8412237167358,227077,59166
exverus,4o,obfs,obfuscated-verusbench,additional_obfuscated_verusbench_mbpp_task_id_95_3,8,102.30344200134277,31010,7711
