strategy,model,bench,dataset,task,calls_count_after_dedup,duration_s_total,prompt_tokens_total,completion_tokens_total
exverus,4o,vb,verusbench,verusbench_diffy_s4lif,33,466.4543299674988,210848,43064
exverus,4o,vb,verusbench,verusbench_diffy_brs3,57,671.5760252475739,240169,60189
exverus,4o,vb,verusbench,verusbench_diffy_sina4,20,295.8099060058594,151893,21146
exverus,4o,vb,verusbench,verusbench_diffy_sina5,39,639.5374708175659,420216,53980
exverus,4o,vb,verusbench,verusbench_diffy_s5if,21,258.498172044754,87290,23185
exverus,4o,vb,verusbench,verusbench_diffy_condg,43,529.3331835269928,278916,52946
exverus,4o,vb,verusbench,verusbench_diffy_sina1,49,498.85875248908997,206358,47554
exverus,4o,vb,verusbench,verusbench_diffy_s4if,43,431.4975130558014,171521,49203
exverus,4o,vb,verusbench,verusbench_diffy_sina2,48,612.2400090694427,224752,55760
exverus,4o,vb,verusbench,verusbench_diffy_res1,43,577.6544950008392,292038,51251
exverus,4o,vb,verusbench,verusbench_diffy_conda,45,590.9895617961884,205724,52670
exverus,4o,vb,verusbench,verusbench_diffy_sina3,37,547.6210014820099,207736,41493
exverus,4o,vb,verusbench,verusbench_diffy_s32if,10,213.7403643131256,34169,7505
exverus,4o,vb,verusbench,verusbench_diffy_res2o,33,543.055552482605,269477,47880
exverus,4o,vb,verusbench,verusbench_diffy_s1lif,51,548.0941867828369,171352,52833
exverus,4o,vb,verusbench,verusbench_diffy_s22if,49,596.2029912471771,181495,58115
exverus,4o,vb,verusbench,verusbench_diffy_condm,1,16.35308265686035,2744,631
exverus,4o,vb,verusbench,verusbench_diffy_ms4,33,420.7318768501282,152199,31544
exverus,4o,vb,verusbench,verusbench_mbpp_task_id_576,11,234.43161392211914,37607,8569
exverus,4o,vb,verusbench,verusbench_mbpp_task_id_567,1,6.218238592147827,2125,455
exverus,4o,vb,verusbench,verusbench_mbpp_task_id_170,50,556.290602684021,237580,45584
exverus,4o,vb,verusbench,verusbench_mbpp_task_id_3,14,165.06030869483948,38992,8425
exverus,4o,vb,verusbench,verusbench_mbpp_task_id_579,42,745.0541837215424,153277,61683
exverus,4o,vb,verusbench,verusbench_mbpp_task_id_142,22,325.14483642578125,150488,23181
exverus,4o,vb,verusbench,verusbench_mbpp_task_id_554,34,390.0940365791321,92216,29336
exverus,4o,vb,verusbench,verusbench_mbpp_task_id_18,29,386.92282009124756,79740,33457
exverus,4o,vb,verusbench,verusbench_mbpp_task_id_133,50,577.7474389076233,216193,48994
exverus,4o,vb,verusbench,verusbench_mbpp_task_id_290,49,573.6544036865234,150812,45798
exverus,4o,vb,verusbench,verusbench_mbpp_task_id_588,32,486.2597553730011,115843,32541
exverus,4o,vb,verusbench,verusbench_mbpp_task_id_431,10,203.88367915153503,37782,6922
exverus,4o,vb,verusbench,verusbench_mbpp_task_id_602,54,714.2183969020844,368462,61230
exverus,4o,vb,verusbench,verusbench_misc_len_intersect,60,632.3716342449188,205450,56016
exverus,4o,vb,verusbench,verusbench_misc_sum,46,379.4381046295166,136330,36020
exverus,4o,vb,verusbench,verusbench_misc_remove_all_greater,32,510.3805510997772,118939,32679
exverus,4o,vb,verusbench,verusbench_misc_fib,48,515.753231048584,213742,49373
exverus,4o,vb,verusbench,verusbench_misc_choose_odd,1,6.047518253326416,1982,395
exverus,4o,vb,verusbench,AVERAGE,34.44444444444444,440.75610635677975,162957.13888888888,36989.083333333336
