strategy,model,bench,dataset,task,calls_count_after_dedup,duration_s_total,prompt_tokens_total,completion_tokens_total
exverus,ds,obfs,obfuscated-verusbench,additional_obfuscated_verusbench_mbpp_task_id_105_4,84,3502.6093661785126,269932,72222
exverus,ds,obfs,obfuscated-verusbench,additional_obfuscated_verusbench_diffy_ms3_1,43,1461.4223737716675,230156,30992
exverus,ds,obfs,obfuscated-verusbench,additional_obfuscated_verusbench_mbpp_task_id_461_2,72,3561.729612350464,327974,74392
exverus,ds,obfs,obfuscated-verusbench,additional_obfuscated_verusbench_diffy_s4lif_3,10,317.2138874530792,57899,6762
exverus,ds,obfs,obfuscated-verusbench,additional_obfuscated_verusbench_diffy_s42if_4,74,2987.447149515152,545968,62122
exverus,ds,obfs,obfuscated-verusbench,additional_obfuscated_verusbench_mbpp_task_id_70_0,2,47.489296436309814,5756,1020
exverus,ds,obfs,obfuscated-verusbench,additional_obfuscated_verusbench_diffy_sina3_3,10,296.33411717414856,57138,6504
exverus,ds,obfs,obfuscated-verusbench,additional_obfuscated_verusbench_mbpp_task_id_644_3,10,328.16646099090576,30519,7240
exverus,ds,obfs,obfuscated-verusbench,additional_obfuscated_verusbench_diffy_s52if_1,1,35.62161374092102,4247,791
exverus,ds,obfs,obfuscated-verusbench,additional_obfuscated_verusbench_diffy_s3if_0,1,27.056769371032715,3464,584
exverus,ds,obfs,obfuscated-verusbench,additional_obfuscated_verusbench_diffy_s1if_3,1,25.9968683719635,3361,572
exverus,ds,obfs,obfuscated-verusbench,additional_obfuscated_verusbench_diffy_condm_4,1,31.009612321853638,3415,683
exverus,ds,obfs,obfuscated-verusbench,additional_obfuscated_verusbench_diffy_s12if_0,1,35.615126848220825,3947,791
exverus,ds,obfs,obfuscated-verusbench,additional_obfuscated_verusbench_mbpp_task_id_644_2,18,666.6140840053558,52952,14764
exverus,ds,obfs,obfuscated-verusbench,additional_obfuscated_verusbench_diffy_brs3_1,10,328.0566899776459,73362,7196
exverus,ds,obfs,obfuscated-verusbench,additional_obfuscated_verusbench_cloverbench_is_prime_4,27,868.7193968296051,84619,18515
exverus,ds,obfs,obfuscated-verusbench,additional_obfuscated_verusbench_diffy_s52if_0,8,259.02127504348755,57298,5673
exverus,ds,obfs,obfuscated-verusbench,additional_obfuscated_verusbench_diffy_sina3_2,58,2368.5372405052185,474360,50382
exverus,ds,obfs,obfuscated-verusbench,additional_obfuscated_verusbench_mbpp_task_id_70_1,2,61.195167541503906,6507,1371
exverus,ds,obfs,obfuscated-verusbench,additional_obfuscated_verusbench_diffy_s4lif_2,29,1160.9527769088745,161580,25275
exverus,ds,obfs,obfuscated-verusbench,additional_obfuscated_verusbench_mbpp_task_id_95_3,1,29.62555503845215,3117,649
exverus,ds,obfs,obfuscated-verusbench,additional_obfuscated_verusbench_diffy_brs2_4,68,2666.3963849544525,419871,55729
exverus,ds,obfs,obfuscated-verusbench,additional_obfuscated_verusbench_diffy_ms3_0,24,715.9101991653442,156901,15237
exverus,ds,obfs,obfuscated-verusbench,additional_obfuscated_verusbench_mbpp_task_id_461_3,62,2675.7427718639374,246473,56078
exverus,ds,obfs,obfuscated-verusbench,additional_obfuscated_verusbench_diffy_s4lif_0,10,291.1438970565796,66180,6313
exverus,ds,obfs,obfuscated-verusbench,additional_obfuscated_verusbench_diffy_sina3_0,30,1344.421751499176,315549,29494
exverus,ds,obfs,obfuscated-verusbench,additional_obfuscated_verusbench_mbpp_task_id_461_1,33,1261.6474778652191,154368,26892
exverus,ds,obfs,obfuscated-verusbench,additional_obfuscated_verusbench_diffy_ms3_2,20,626.7618174552917,193392,13392
exverus,ds,obfs,obfuscated-verusbench,additional_obfuscated_verusbench_mbpp_task_id_95_1,1,24.383585453033447,3112,516
exverus,ds,obfs,obfuscated-verusbench,additional_obfuscated_verusbench_diffy_res1o_0,49,2162.1017026901245,223565,46287
exverus,ds,obfs,obfuscated-verusbench,additional_obfuscated_verusbench_diffy_s1if_1,1,35.40477395057678,4004,785
exverus,ds,obfs,obfuscated-verusbench,additional_obfuscated_verusbench_diffy_s3if_2,35,1499.0018339157104,179464,32104
exverus,ds,obfs,obfuscated-verusbench,additional_obfuscated_verusbench_diffy_conda_4,22,686.9395143985748,88886,14780
exverus,ds,obfs,obfuscated-verusbench,additional_obfuscated_verusbench_diffy_s52if_2,34,1212.1077132225037,190164,26010
exverus,ds,obfs,obfuscated-verusbench,additional_obfuscated_verusbench_diffy_brs3_3,28,913.96568608284,223927,19374
exverus,ds,obfs,obfuscated-verusbench,additional_obfuscated_verusbench_mbpp_task_id_460_4,36,1477.565238237381,134103,31705
exverus,ds,obfs,obfuscated-verusbench,additional_obfuscated_verusbench_mbpp_task_id_644_0,12,351.8840389251709,43657,7589
exverus,ds,obfs,obfuscated-verusbench,additional_obfuscated_verusbench_diffy_s12if_2,1,40.87126898765564,4393,934
exverus,ds,obfs,obfuscated-verusbench,additional_obfuscated_verusbench_mbpp_task_id_8_4,1,31.269482851028442,3069,690
exverus,ds,obfs,obfuscated-verusbench,additional_obfuscated_verusbench_diffy_s52if_3,23,833.6054418087006,142603,18028
exverus,ds,obfs,obfuscated-verusbench,additional_obfuscated_verusbench_diffy_s5lif_4,16,586.1956920623779,185899,12488
exverus,ds,obfs,obfuscated-verusbench,additional_obfuscated_verusbench_diffy_s12if_3,8,271.28199911117554,44340,5944
exverus,ds,obfs,obfuscated-verusbench,additional_obfuscated_verusbench_mbpp_task_id_644_1,10,337.0050826072693,29720,7436
exverus,ds,obfs,obfuscated-verusbench,additional_obfuscated_verusbench_diffy_s1lif_4,9,332.3715374469757,64059,7255
exverus,ds,obfs,obfuscated-verusbench,additional_obfuscated_verusbench_diffy_brs3_2,12,419.37446784973145,37075,9015
exverus,ds,obfs,obfuscated-verusbench,additional_obfuscated_verusbench_diffy_s3if_3,2,61.63173031806946,6716,1326
exverus,ds,obfs,obfuscated-verusbench,additional_obfuscated_verusbench_diffy_res2o_4,64,3197.721221923828,478162,67050
exverus,ds,obfs,obfuscated-verusbench,additional_obfuscated_verusbench_mbpp_task_id_461_0,70,3000.844911813736,309533,62615
exverus,ds,obfs,obfuscated-verusbench,additional_obfuscated_verusbench_diffy_ms3_3,26,840.4676647186279,144573,17570
exverus,ds,obfs,obfuscated-verusbench,additional_obfuscated_verusbench_mbpp_task_id_95_0,1,25.644797325134277,3153,551
exverus,ds,obfs,obfuscated-verusbench,additional_obfuscated_verusbench_mbpp_task_id_70_2,2,58.84264516830444,5915,1257
exverus,ds,obfs,obfuscated-verusbench,additional_obfuscated_verusbench_diffy_sina3_1,1,48.69081401824951,5735,1096
exverus,ds,obfs,obfuscated-verusbench,additional_obfuscated_verusbench_diffy_s4lif_1,53,2155.159563779831,302495,44983
exverus,ds,obfs,obfuscated-verusbench,additional_obfuscated_verusbench_cloverbench_two_sum_0,52,2544.5773022174835,186034,54103
exverus,ds,obfs,obfuscated-verusbench,additional_obfuscated_verusbench_diffy_conda_1,21,766.8994336128235,124164,16243
exverus,ds,obfs,obfuscated-verusbench,additional_obfuscated_verusbench_diffy_sina2_0,1,35.371147871017456,3551,729
exverus,ds,obfs,obfuscated-verusbench,additional_obfuscated_verusbench_mbpp_task_id_460_1,22,730.960610628128,135221,15239
exverus,ds,obfs,obfuscated-verusbench,additional_obfuscated_verusbench_diffy_ms2_2,9,263.38308024406433,43651,5538
exverus,ds,obfs,obfuscated-verusbench,additional_obfuscated_verusbench_diffy_s5lif_0,10,363.52010440826416,53840,7701
exverus,ds,obfs,obfuscated-verusbench,additional_obfuscated_verusbench_mbpp_task_id_8_0,1,25.63749098777771,3221,528
exverus,ds,obfs,obfuscated-verusbench,additional_obfuscated_verusbench_cloverbench_is_prime_3,21,540.8953011035919,50215,10997
exverus,ds,obfs,obfuscated-verusbench,additional_obfuscated_verusbench_diffy_s42if_2,1,39.69924306869507,3796,854
exverus,ds,obfs,obfuscated-verusbench,additional_obfuscated_verusbench_mbpp_task_id_95_4,1,25.157251834869385,3114,525
exverus,ds,obfs,obfuscated-verusbench,additional_obfuscated_verusbench_mbpp_task_id_461_4,62,2501.385059595108,233152,50946
