strategy,model,bench,dataset,task,calls_count_after_dedup,duration_s_total,prompt_tokens_total,completion_tokens_total,iteration,pass_or_fail
exverus,ds,vb,verusbench,verusbench_cloverbench_all_digits_strong,2,65.83705139160156,6646,1429,2,pass
exverus,ds,vb,verusbench,verusbench_cloverbench_array_sum_strong,1,25.013188362121582,2788,527,1,pass
exverus,ds,vb,verusbench,verusbench_cloverbench_cal_div,12,248.1545867919922,26110,5171,2,pass
exverus,ds,vb,verusbench,verusbench_cloverbench_array_copy_strong,1,17.780277252197266,2226,350,1,pass
exverus,ds,vb,verusbench,verusbench_cloverbench_two_sum,59,1836.2242815494537,984453,38554,,fail
exverus,ds,vb,verusbench,verusbench_cloverbench_linear_search2,1,21.730859756469727,2253,440,1,pass
exverus,ds,vb,verusbench,verusbench_cloverbench_array_append_strong,1,22.803980112075806,2359,459,1,pass
exverus,ds,vb,verusbench,verusbench_cloverbench_array_product_strong,1,20.47739052772522,2688,409,1,pass
exverus,ds,vb,verusbench,verusbench_cloverbench_array_concat_strong,1,22.4935359954834,2871,471,1,pass
exverus,ds,vb,verusbench,verusbench_cloverbench_binary_search,7,259.2329099178314,12853,5849,1,pass
exverus,ds,vb,verusbench,verusbench_cloverbench_is_prime,20,624.5496456623077,60351,13526,6,pass
exverus,ds,vb,verusbench,verusbench_diffy_s4lif,1,34.23859524726868,3598,756,1,pass
exverus,ds,vb,verusbench,verusbench_diffy_brs1,35,947.6053895950317,293429,20429,5,pass
exverus,ds,vb,verusbench,verusbench_diffy_brs3,23,644.4073672294617,134394,13771,7,pass
exverus,ds,vb,verusbench,verusbench_diffy_s1if,9,303.50191378593445,40667,6618,2,pass
exverus,ds,vb,verusbench,verusbench_diffy_s5lif,1,38.55328011512756,3728,879,1,pass
exverus,ds,vb,verusbench,verusbench_diffy_sina4,10,329.68301343917847,68409,7484,2,pass
exverus,ds,vb,verusbench,verusbench_diffy_sina5,24,919.4338891506195,277134,20819,4,pass
exverus,ds,vb,verusbench,verusbench_diffy_s5if,8,253.6693468093872,38373,5532,2,pass
exverus,ds,vb,verusbench,verusbench_diffy_condg,1,31.391361236572266,3712,660,1,pass
exverus,ds,vb,verusbench,verusbench_diffy_brs2,11,463.78602266311646,53631,10499,2,pass
exverus,ds,vb,verusbench,verusbench_diffy_sina1,8,187.41540479660034,36602,3940,2,pass
exverus,ds,vb,verusbench,verusbench_diffy_s4if,10,289.3759288787842,44814,6221,3,pass
exverus,ds,vb,verusbench,verusbench_diffy_s52if,1,30.6684730052948,3676,686,1,pass
exverus,ds,vb,verusbench,verusbench_diffy_sina2,1,30.768911123275757,3440,681,1,pass
exverus,ds,vb,verusbench,verusbench_diffy_res1,37,1223.1051409244537,485180,27056,5,pass
exverus,ds,vb,verusbench,verusbench_diffy_brs5,17,515.9015889167786,98645,11323,4,pass
exverus,ds,vb,verusbench,verusbench_diffy_brs4,80,2555.26691865921,373258,53067,10,pass
exverus,ds,vb,verusbench,verusbench_diffy_conda,9,356.3386957645416,42073,8056,2,pass
exverus,ds,vb,verusbench,verusbench_diffy_res1o,9,317.98811054229736,45269,7014,2,pass
exverus,ds,vb,verusbench,verusbench_diffy_s42if,1,29.93232297897339,3696,658,1,pass
exverus,ds,vb,verusbench,verusbench_diffy_sina3,31,1164.52072930336,687162,25106,7,pass
exverus,ds,vb,verusbench,verusbench_diffy_s2if,9,302.7586579322815,42836,6689,2,pass
exverus,ds,vb,verusbench,verusbench_diffy_s32if,1,31.054859399795532,3696,680,1,pass
exverus,ds,vb,verusbench,verusbench_diffy_ms1,9,218.25059270858765,38952,4675,2,pass
exverus,ds,vb,verusbench,verusbench_diffy_res2o,70,3222.2811007499695,498249,68152,,fail
exverus,ds,vb,verusbench,verusbench_diffy_s1lif,12,394.46531653404236,36865,8230,2,pass
exverus,ds,vb,verusbench,verusbench_diffy_ms3,9,261.9349949359894,45467,5749,2,pass
exverus,ds,vb,verusbench,verusbench_diffy_ms2,11,237.92738842964172,46564,5031,2,pass
exverus,ds,vb,verusbench,verusbench_diffy_s22if,1,29.11954140663147,3696,634,1,pass
exverus,ds,vb,verusbench,verusbench_diffy_s2lif,1,29.905045747756958,3638,653,1,pass
exverus,ds,vb,verusbench,verusbench_diffy_condn,1,21.72164273262024,2646,468,1,pass
exverus,ds,vb,verusbench,verusbench_diffy_s12if,1,34.61961340904236,3696,770,1,pass
exverus,ds,vb,verusbench,verusbench_diffy_s3if,9,268.26743960380554,41222,5829,2,pass
exverus,ds,vb,verusbench,verusbench_diffy_ms5,9,222.32139778137207,43056,4749,2,pass
exverus,ds,vb,verusbench,verusbench_diffy_s3lif,1,27.97068500518799,3706,644,1,pass
exverus,ds,vb,verusbench,verusbench_diffy_condm,1,22.723103523254395,2765,488,1,pass
exverus,ds,vb,verusbench,verusbench_diffy_ms4,8,213.21757078170776,38292,4562,2,pass
exverus,ds,vb,verusbench,verusbench_mbpp_task_id_113,1,15.95474123954773,2347,324,1,pass
exverus,ds,vb,verusbench,verusbench_mbpp_task_id_624,1,25.227417707443237,3053,546,1,pass
exverus,ds,vb,verusbench,verusbench_mbpp_task_id_70,2,41.3072452545166,4559,849,2,pass
exverus,ds,vb,verusbench,verusbench_mbpp_task_id_769,73,3706.47638297081,439662,77487,,fail
exverus,ds,vb,verusbench,verusbench_mbpp_task_id_105,58,1918.470083475113,138512,41437,,fail
exverus,ds,vb,verusbench,verusbench_mbpp_task_id_414,1,25.88939118385315,2807,570,1,pass
exverus,ds,vb,verusbench,verusbench_mbpp_task_id_576,10,324.7413990497589,33970,7281,,fail
